name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,1.0986122886681096,2.08
2_DecisionTree,Decision Tree,logloss,1.500057228529461,7.75
3_Linear,Linear,logloss,0.2520792940464751,6.41
4_Default_Xgboost,Xgboost,logloss,0.3760013629657191,8.08
5_Default_NeuralNetwork,Neural Network,logloss,0.4045060457471434,2.02
6_Default_RandomForest,Random Forest,logloss,0.21759512697795597,8.48
Ensemble,Ensemble,logloss,0.21684193158581833,0.28
